nShell	Diam	area70
1	346.80737679	0.0016893611054	0.0016893611054
2	342.606223963	0.00361240206431	0.00361240206431
3	338.443387664	0.00563448815874	0.00563448815874
4	334.318518626	0.00743813099531	0.00743813099531
5	330.231270762	0.00916682855264	0.00916682855264
6	326.181301135	0.0112002604247	0.0112002604247
7	322.168269926	0.0133737833831	0.0133737833831
8	318.19184041	0.0156352984004	0.0156352984004
9	314.251678925	0.0188158338395	0.0188158338395
10	310.347454846	0.0220351800365	0.0220351800365
11	306.478840556	0.0265125704177	0.0265125704177
12	302.645511422	0.0335944434323	0.0335944434323
13	298.847145763	0.0420808419285	0.0420808419285
14	295.083424828	0.0602962207766	0.0602962207766
15	291.354032767	0.103158493853	0.103158493853
16	287.658656604	0.251466454082	0.251466454082
17	283.996986214	0.653829035343	0.653829035343
18	280.368714294	1.25299746277	1.25299746277
19	276.77353634	1.81688804534	1.81688804534
20	273.211150618	2.32861266552	2.32861266552
21	269.681258144	2.94658172154	2.94658172154
22	266.183562655	3.535895798	3.535895798
23	262.717770586	4.1321821368	4.1321821368
24	259.283591046	4.8027399011	4.8027399011
25	255.88073579	5.44202474951	5.44202474951
26	252.508919201	6.06859165465	6.06859165465
27	249.167858263	6.74724082569	6.74724082569
28	245.857272535	7.46633215357	7.46633215357
29	242.576884134	8.20756809986	8.20756809986
30	239.326417705	8.97931427848	8.97931427848
31	236.105600402	9.6919131546	9.6919131546
32	232.914161863	10.5198666168	10.5198666168
33	229.751834192	11.262284879	11.262284879
34	226.61835193	12.1078424332	12.1078424332
35	223.513452037	12.9797506797	12.9797506797
36	220.436873871	13.8224471725	13.8224471725
37	217.388359163	14.6853101092	14.6853101092
38	214.367651995	15.5557111453	15.5557111453
39	211.374498786	16.4420505648	16.4420505648
40	208.408648259	17.3126399363	17.3126399363
41	205.469851431	18.1962331098	18.1962331098
42	202.557861585	19.2013787225	19.2013787225
43	199.672434254	20.3538807571	20.3538807571
44	196.813327197	21.509240351	21.509240351
45	193.980300381	22.4976510339	22.4976510339
46	191.17311596	23.3640786841	23.3640786841
47	188.391538255	24.2179640802	24.2179640802
48	185.635333736	25.0738253086	25.0738253086
49	182.904271	26.0920612367	26.0920612367
50	180.198120753	27.0968858352	27.0968858352
51	177.51665579	28.2170202762	28.2170202762
52	174.859650979	29.1773883632	29.1773883632
53	172.226883238	30.225834247	30.225834247
54	169.618131517	31.0551788745	31.0551788745
55	167.033176783	32.1206157135	32.1206157135
56	164.471801999	32.838007697	32.838007697
57	161.933792105	34.045564498	34.045564498
58	159.418934001	34.9198546679	34.9198546679
59	156.927016532	35.8391531066	35.8391531066
60	154.457830465	37.2514094738	37.2514094738
