nShell	Diam	area30
1	346.80737679	1.20308885173	1.20308885173
2	342.606223963	2.45910052477	2.45910052477
3	338.443387664	3.53258594901	3.53258594901
4	334.318518626	4.37696056734	4.37696056734
5	330.231270762	5.3472321244	5.3472321244
6	326.181301135	6.71828394377	6.71828394377
7	322.168269926	8.29711908228	8.29711908228
8	318.19184041	9.73729839535	9.73729839535
9	314.251678925	10.8819391955	10.8819391955
10	310.347454846	11.8669092289	11.8669092289
11	306.478840556	13.0340124148	13.0340124148
12	302.645511422	14.7110178646	14.7110178646
13	298.847145763	16.7544166468	16.7544166468
14	295.083424828	18.6830602305	18.6830602305
15	291.354032767	20.1440061936	20.1440061936
16	287.658656604	21.1291502606	21.1291502606
17	283.996986214	21.9439141825	21.9439141825
18	280.368714294	22.9974032431	22.9974032431
19	276.77353634	24.4528489876	24.4528489876
20	273.211150618	26.1028343284	26.1028343284
21	269.681258144	27.5555894907	27.5555894907
22	266.183562655	28.5779523151	28.5779523151
23	262.717770586	29.1750789036	29.1750789036
24	259.283591046	29.6485863638	29.6485863638
25	255.88073579	30.4486648119	30.4486648119
26	252.508919201	31.876174484	31.876174484
27	249.167858263	34.0209448622	34.0209448622
28	245.857272535	36.787204415	36.787204415
29	242.576884134	40.0058569263	40.0058569263
30	239.326417705	43.5325037698	43.5325037698
31	236.105600402	47.2591379891	47.2591379891
32	232.914161863	51.1039947787	51.1039947787
33	229.751834192	55.0065411361	55.0065411361
34	226.61835193	58.9277813324	58.9277813324
35	223.513452037	62.839348618	62.839348618
36	220.436873871	66.7112552783	66.7112552783
37	217.388359163	70.4955311093	70.4955311093
38	214.367651995	74.0920690522	74.0920690522
39	211.374498786	77.3100148463	77.3100148463
40	208.408648259	79.8630237177	79.8630237177
41	205.469851431	81.5982174063	81.5982174063
42	202.557861585	82.6813372134	82.6813372134
43	199.672434254	83.5248855463	83.5248855463
44	196.813327197	84.624658411	84.624658411
45	193.980300381	86.2599656317	86.2599656317
46	191.17311596	88.3775656084	88.3775656084
47	188.391538255	90.7922665514	90.7922665514
48	185.635333736	93.362028905	93.362028905
49	182.904271	96.0028617327	96.0028617327
50	180.198120753	98.6656783466	98.6656783466
51	177.51665579	101.320731721	101.320731721
52	174.859650979	103.949345445	103.949345445
53	172.226883238	106.539528144	106.539528144
54	169.618131517	109.083546098	109.083546098
55	167.033176783	111.576509995	111.576509995
56	164.471801999	114.015509186	114.015509186
57	161.933792105	116.399053425	116.399053425
58	159.418934001	118.726692858	118.726692858
59	156.927016532	120.998743738	120.998743738
60	154.457830465	123.216077229	123.216077229
