nShell	Diam	area60
1	346.80737679	0.0135177213617	0.0135177213617
2	342.606223963	0.0360760086853	0.0360760086853
3	338.443387664	0.0990185810495	0.0990185810495
4	334.318518626	0.293123558202	0.293123558202
5	330.231270762	0.722594283365	0.722594283365
6	326.181301135	1.25956624667	1.25956624667
7	322.168269926	1.78824326516	1.78824326516
8	318.19184041	2.26327931446	2.26327931446
9	314.251678925	2.84701613967	2.84701613967
10	310.347454846	3.40696736532	3.40696736532
11	306.478840556	3.99277117432	3.99277117432
12	302.645511422	4.64594217318	4.64594217318
13	298.847145763	5.29640893065	5.29640893065
14	295.083424828	5.91900594236	5.91900594236
15	291.354032767	6.58976237853	6.58976237853
16	287.658656604	7.29293886412	7.29293886412
17	283.996986214	7.96457862512	7.96457862512
18	280.368714294	8.76292842433	8.76292842433
19	276.77353634	9.48092605321	9.48092605321
20	273.211150618	10.2574530386	10.2574530386
21	269.681258144	11.0838044906	11.0838044906
22	266.183562655	11.9069560013	11.9069560013
23	262.717770586	12.6794213667	12.6794213667
24	259.283591046	13.5515540594	13.5515540594
25	255.88073579	14.4834829752	14.4834829752
26	252.508919201	15.4203910936	15.4203910936
27	249.167858263	16.3916391754	16.3916391754
28	245.857272535	17.3548495825	17.3548495825
29	242.576884134	18.2479232744	18.2479232744
30	239.326417705	19.115827469	19.115827469
31	236.105600402	20.1220171829	20.1220171829
32	232.914161863	21.3722886081	21.3722886081
33	229.751834192	22.6396283414	22.6396283414
34	226.61835193	23.6246253201	23.6246253201
35	223.513452037	24.5540024953	24.5540024953
36	220.436873871	25.5796300466	25.5796300466
37	217.388359163	26.4642039401	26.4642039401
38	214.367651995	27.6403695594	27.6403695594
39	211.374498786	28.7574722261	28.7574722261
40	208.408648259	29.9164053346	29.9164053346
41	205.469851431	31.1826517837	31.1826517837
42	202.557861585	32.2985151464	32.2985151464
43	199.672434254	33.3548654706	33.3548654706
44	196.813327197	34.4269439428	34.4269439428
45	193.980300381	35.4375471735	35.4375471735
46	191.17311596	36.4188553562	36.4188553562
47	188.391538255	37.7992846256	37.7992846256
48	185.635333736	38.7884557928	38.7884557928
49	182.904271	39.9858386614	39.9858386614
50	180.198120753	41.5536188427	41.5536188427
51	177.51665579	42.4366984587	42.4366984587
52	174.859650979	43.4886267855	43.4886267855
53	172.226883238	44.9743593224	44.9743593224
54	169.618131517	46.0135650715	46.0135650715
55	167.033176783	46.677515387	46.677515387
56	164.471801999	47.619585825	47.619585825
57	161.933792105	48.9761593243	48.9761593243
58	159.418934001	50.3252842767	50.3252842767
59	156.927016532	51.1431610374	51.1431610374
60	154.457830465	51.71931596	51.71931596
