shell#	D	alfa	SH	thick	aColl	ff	fov	ShellWeight(kg)	TotWeight
1	210.0	0.00874642970713	59.8	0.5	172.751869401	0.00872664625997	0.00872664625997	0.129867627574	0.129867627574
2	214.089756557	0.00891662365612	60.3024558056	1.0	181.053846835	0.00872664625997	0.00872664625997	0.267012873283	0.396880500856
3	218.217597279	0.00908839408144	60.8095905228	1.0	189.683891704	0.00872664625997	0.00872664625997	0.274444142114	0.67132464297
4	222.384222673	0.00926176973394	61.3214902141	1.0	198.653938761	0.00872664625997	0.00872664625997	0.282032727352	0.953357370322
5	226.590349493	0.00943678002312	61.8382429378	1.0	207.976393146	0.00872664625997	0.00872664625997	0.289782406187	1.24313977651
6	230.83671122	0.00961345503636	62.359938807	1.0	217.664151373	0.00872664625997	0.00872664625997	0.297697071315	1.54083684782
7	235.124058558	0.00979182555883	62.8866700514	1.0	227.730623374	0.00872664625997	0.00872664625997	0.305780735124	1.84661758295
8	239.453159957	0.00997192309408	63.4185310805	1.0	238.189755653	0.00872664625997	0.00872664625997	0.314037534062	2.16065511701
9	243.824802146	0.0101537798854	63.9556185494	1.0	249.056055611	0.00872664625997	0.00872664625997	0.322471733195	2.48312685021
10	248.239790686	0.0103374289378	64.4980314271	1.0	260.34461711	0.00872664625997	0.00872664625997	0.331087730953	2.81421458116
11	252.698950545	0.0105229040412	65.045871067	1.0	272.071147355	0.00872664625997	0.00872664625997	0.339890064085	3.15410464524
12	257.203126699	0.0107102397936	65.5992412801	1.0	284.251995146	0.00872664625997	0.00872664625997	0.348883412834	3.50298805808
13	261.753184742	0.010899471626	66.1582484112	1.0	296.904180611	0.00872664625997	0.00872664625997	0.358072606327	3.8610606644
14	266.350011534	0.0110906358278	66.723001417	1.0	310.045426476	0.00872664625997	0.00872664625997	0.367462628211	4.22852329262
15	270.994515861	0.0112837695731	67.2936119487	1.0	323.694190984	0.00872664625997	0.00872664625997	0.377058622535	4.60558191515
16	275.687629127	0.0114789109478	67.8701944356	1.0	337.869702538	0.00872664625997	0.00872664625997	0.386865899896	4.99244781505
17	280.430306067	0.0116760989783	68.4528661739	1.0	352.591996199	0.00872664625997	0.00872664625997	0.396889943853	5.3893377589
18	285.223525492	0.0118753736606	69.0417474176	1.0	367.881952115	0.00872664625997	0.00872664625997	0.407136417639	5.79647417654
19	290.068291058	0.0120767759911	69.6369614728	1.0	383.761336018	0.00872664625997	0.00872664625997	0.417611171172	6.21408534771
20	294.965632068	0.0122803479976	70.238634797	1.0	400.252841914	0.00872664625997	0.00872664625997	0.428320248387	6.6424055961
21	299.916604304	0.0124861327728	70.8468971002	1.0	417.380137085	0.00872664625997	0.00872664625997	0.439269894903	7.081675491
22	304.922290886	0.0126941745079	71.4618814517	1.0	435.167909551	0.00872664625997	0.00872664625997	0.450466566047	7.53214205705
23	309.983803177	0.0129045185279	72.0837243903	1.0	453.641918144	0.00872664625997	0.00872664625997	0.461916935247	7.99405899229
24	315.102281708	0.0131172113289	72.7125660384	1.0	472.829045352	0.00872664625997	0.00872664625997	0.473627902822	8.46768689512
25	320.278897154	0.0133323006153	73.3485502218	1.0	492.757353104	0.00872664625997	0.00872664625997	0.48560660518	8.9532935003
26	325.51485134	0.0135498353402	73.9918245932	1.0	513.456141679	0.00872664625997	0.00872664625997	0.49786042446	9.45115392476
27	330.811378289	0.0137698657462	74.6425407612	1.0	534.956011939	0.00872664625997	0.00872664625997	0.510396998624	9.96155092338
28	336.169745315	0.013992443408	75.3008544244	1.0	557.288931087	0.00872664625997	0.00872664625997	0.523224232042	10.4847751554
29	341.591254158	0.0142176212773	75.9669255109	1.0	580.488302181	0.00872664625997	0.00872664625997	0.53635030658	11.021125462
30	347.077242167	0.0144454537287	76.6409183234	1.0	604.589037645	0.00872664625997	0.00872664625997	0.549783693239	11.5709091552
31	352.629083529	0.0146759966078	77.3230016908	1.0	629.627637023	0.00872664625997	0.00872664625997	0.56353316435	12.1344423196
32	358.248190554	0.0149093072814	78.0133491252	1.0	655.642269266	0.00872664625997	0.00872664625997	0.577607806381	12.712050126
33	363.936015007	0.0151454446893	78.7121389866	1.0	682.672859834	0.00872664625997	0.00872664625997	0.592017033377	13.3040671593
34	369.694049504	0.0153844693987	79.4195546533	1.0	710.761182934	0.00872664625997	0.00872664625997	0.606770601064	13.9108377604
35	375.523828958	0.0156264436605	80.1357847005	1.0	739.950959236	0.00872664625997	0.00872664625997	0.621878621675	14.5327163821
36	381.426932096	0.0158714314679	80.861023086	1.0	770.287959426	0.00872664625997	0.00872664625997	0.637351579518	15.1700679616
37	387.404983033	0.0161194986179	81.5954693441	1.0	801.820113989	0.00872664625997	0.00872664625997	0.653200347345	15.823268309
38	393.459652921	0.0163707127747	82.3393287874	1.0	834.597629635	0.00872664625997	0.00872664625997	0.669436203552	16.4927045125
39	399.592661663	0.0166251435364	83.0928127186	1.0	868.673112838	0.00872664625997	0.00872664625997	0.686070850279	17.1787753628
40	405.805779708	0.0168828625038	83.8561386498	1.0	904.101700943	0.00872664625997	0.00872664625997	0.703116432451	17.8818917952
41	412.100829921	0.0171439433533	84.6295305332	1.0	940.941201392	0.00872664625997	0.00872664625997	0.720585557811	18.602477353
42	418.479689541	0.0174084619114	85.4132190008	1.0	979.252239611	0.00872664625997	0.00872664625997	0.738491318024	19.3409686711
43	424.94429222	0.0176764962339	86.2074416156	1.0	1019.09841617	0.00883824811697	0.00872664625997	0.756847310893	20.097815982
44	431.515873466	0.0179489243663	87.0148073115	1.0	1060.66978737	0.00897446218313	0.00872664625997	0.775723255641	20.8735392376
45	438.201395313	0.0182260321472	87.8361714242	1.0	1104.07845565	0.00911301607362	0.00872664625997	0.795150122018	21.6686893596
