shell#	D	alfa	SH	thick	aColl	ff	fov	ShellWeight(kg)	TotWeight
1	358.195431432	0.0278680119811	150.0	0.3	4760.14139784	0.0139340059905	0.00116355283466	0.880804837999	0.880804837999
2	349.09468153	0.0271655952158	150.0	0.3	4522.21968804	0.0135827976079	0.00116355283466	0.858425635194	1.73923047319
3	340.20015488	0.0264786788286	150.0	0.3	4295.51866385	0.0132393394143	0.00116355283466	0.836553575736	2.57578404893
4	331.507285227	0.0258069481656	150.0	0.3	4079.53174633	0.0129034740828	0.00116355283466	0.815177428218	3.39096147715
5	323.011600079	0.0251500930896	150.0	0.3	3873.77420756	0.0125750465448	0.00116355283466	0.794286192003	4.18524766915
6	314.708719284	0.0245078080492	150.0	0.3	3677.78229834	0.0122539040246	0.00116355283466	0.773869093711	4.95911676286
7	306.594353594	0.023879792136	150.0	0.3	3491.11240492	0.011939896068	0.00116355283466	0.753915583671	5.71303234653
8	298.664303212	0.0232657491308	150.0	0.3	3313.3402342	0.0116328745654	0.00116355283466	0.734415332351	6.44744767888
9	290.914456338	0.0226653875384	150.0	0.3	3144.060027	0.0113326937692	0.00116355283466	0.715358226755	7.16280590564
10	283.34078771	0.0220784206146	150.0	0.3	2982.88379883	0.0110392103073	0.00116355283466	0.696734366831	7.85954027247
11	275.939357134	0.0215045663821	150.0	0.3	2829.44060765	0.0107522831911	0.00116355283466	0.678534061847	8.53807433432
12	268.706308022	0.0209435476401	150.0	0.3	2683.37584804	0.0104717738201	0.00116355283466	0.660747826787	9.1988221611
13	261.637865931	0.020395091965	150.0	0.3	2544.3505711	0.0101975459825	0.00116355283466	0.643366378744	9.84218853985
14	254.730337098	0.0198589317046	150.0	0.3	2412.04082954	0.0099294658523	0.00116355283466	0.626380633319	10.4685691732
15	247.980106991	0.019334803966	150.0	0.3	2286.13704724	0.00966740198301	0.00116355283466	0.609781701041	11.0783508742
16	241.38363886	0.0188224505974	150.0	0.3	2166.34341266	0.00941122529871	0.00116355283466	0.5935608838	11.671911758
17	234.937472298	0.0183216181646	150.0	0.3	2052.37729546	0.00916080908228	0.00116355283466	0.577709671306	12.2496214293
18	228.638221814	0.0178320579223	150.0	0.3	1943.96868556	0.00891602896113	0.00116355283466	0.56221973757	12.8118411669
19	222.482575417	0.0173535257816	150.0	0.3	1840.85965409	0.00867676289078	0.00116355283466	0.547082937414	13.3589241043
20	216.467293209	0.0168857822728	150.0	0.3	1742.80383548	0.00844289113641	0.00116355283466	0.532291303013	13.8912154073
21	210.589205997	0.016428592505	150.0	0.3	1649.56593005	0.00821429625248	0.00116355283466	0.517837040467	14.4090524478
22	204.845213914	0.0159817261216	150.0	0.3	1560.92122643	0.0079908630608	0.00116355283466	0.503712526414	14.9127649742
23	199.232285057	0.0155449572542	150.0	0.3	1476.65514315	0.00777247862711	0.00116355283466	0.489910304676	15.4026752789
24	193.747454144	0.0151180644725	150.0	0.3	1396.56278878	0.00755903223625	0.00116355283466	0.476423082946	15.8790983618
25	188.387821184	0.0147008307325	150.0	0.3	1320.44854	0.00735041536625	0.00116355283466	0.463243729518	16.3423420913
26	183.150550162	0.0142930433227	150.0	0.3	1248.12563681	0.00714652166133	0.00116355283466	0.450365270052	16.7927073614
27	178.032867748	0.0138944938079	150.0	0.3	1179.41579457	0.00694724690396	0.00116355283466	0.437780884394	17.2304882458
28	173.032062022	0.0135049779724	150.0	0.3	1114.148832	0.00675248898622	0.00116355283466	0.42548390343	17.6559721492
29	168.145481208	0.0131242957607	150.0	0.3	1052.16231466	0.00656214788037	0.00116355283466	0.41346780599	18.0694399552
30	163.370532445	0.0127522512177	150.0	0.3	993.301213323	0.00637612560885	0.00116355283466	0.4017262158	18.471166171
31	158.704680559	0.0123886524278	150.0	0.3	937.417576774	0.00619432621389	0.00116355283466	0.390252898475	18.8614190695
32	154.145446862	0.0120333114532	150.0	0.3	884.370218287	0.00601665572659	0.00116355283466	0.379041758563	19.240460828
33	149.690407976	0.0116860442714	150.0	0.3	834.02441547	0.00584302213572	0.00116355283466	0.368086836638	19.6085476647
34	145.337194662	0.0113466707127	150.0	0.3	786.251622825	0.00567333535634	0.00116355283466	0.357382306437	19.9659299711
35	141.083490684	0.0110150143963	150.0	0.3	740.929196589	0.00550750719813	0.00116355283466	0.346922472047	20.3128524432
36	136.927031678	0.0106909026673	150.0	0.3	697.940131351	0.00534545133366	0.00116355283466	0.33670176514	20.6495542083
37	132.865604056	0.0103741665332	150.0	0.3	657.172807993	0.00518708326662	0.00116355283466	0.326714742257	20.9762689506
38	128.897043913	0.0100646406	150.0	0.3	618.52075248	0.0050323203	0.00116355283466	0.316956082135	21.2932250327
39	125.019235966	0.00976216300866	150.0	0.3	581.882405096	0.00488108150433	0.00116355283466	0.307420583091	21.6006456158
40	121.230112508	0.00946657537203	150.0	0.3	547.160899671	0.00473328768601	0.00116355283466	0.298103160445	21.8987487762
41	117.52765238	0.00917772271155	150.0	0.3	514.263852412	0.00458886135577	0.00116355283466	0.288998843992	22.1877476202
42	113.909879963	0.00889545339455	150.0	0.3	483.103159944	0.00444772669727	0.00116355283466	0.280102775529	22.4678503957
43	110.37486419	0.00861961907185	150.0	0.3	453.594806166	0.00430980953593	0.00116355283466	0.271410206418	22.7392606022
44	106.920717576	0.00835007461588	150.0	0.3	425.65867758	0.00417503730794	0.00116355283466	0.262916495199	23.0021770974
45	103.545595267	0.00808667805922	150.0	0.3	399.218386716	0.00404333902961	0.00116355283466	0.254617105254	23.2567942026
