shell#	D	alfa	SH	thick	aColl	ff	fov	ShellWeight(kg)	TotWeight
1	210.0	0.00874642970713	77.0	0.5	222.519276022	0.00872664625997	0.00872664625997	0.167100726503	0.167100726503
2	214.690845663	0.00894163709948	77.4116456399	1.0	233.812582892	0.00872664625997	0.00872664625997	0.343487291013	0.510588017516
3	219.426298686	0.00913868974243	77.8272058031	1.0	245.549649109	0.00872664625997	0.00872664625997	0.352942065996	0.863530083511
4	224.207107618	0.00933761822056	78.2467461787	1.0	257.745654647	0.00872664625997	0.00872664625997	0.362569577014	1.22609966053
5	229.034037403	0.00953845377615	78.6703338945	1.0	270.416344476	0.00872664625997	0.00872664625997	0.372373730089	1.59847339061
6	233.907869831	0.00974122832685	79.0980375566	1.0	283.578052187	0.00872664625997	0.00872664625997	0.3823585418	1.98083193241
7	238.829404006	0.00994597448398	79.5299272903	1.0	297.247724737	0.00872664625997	0.00872664625997	0.392528143027	2.37336007544
8	243.799456828	0.0101527255714	79.9660747829	1.0	311.442948346	0.00872664625997	0.00872664625997	0.402886782834	2.77624685828
9	248.818863494	0.0103615156448	80.406553327	1.0	326.181975633	0.00872664625997	0.00872664625997	0.413438832507	3.18968569078
10	253.888478008	0.0105723795122	80.851437866	1.0	341.483754035	0.00872664625997	0.00872664625997	0.424188789761	3.61387448054
11	259.009173722	0.0107853527541	81.3008050409	1.0	357.367955591	0.00872664625997	0.00872664625997	0.435141283104	4.04901576365
12	264.181843879	0.0110004717456	81.7547332383	1.0	373.855008156	0.00872664625997	0.00872664625997	0.446301076386	4.49531684003
13	269.407402189	0.0112177736778	82.213302641	1.0	390.966128124	0.00872664625997	0.00872664625997	0.457673073529	4.95298991356
14	274.686783415	0.0114372965813	82.6765952793	1.0	408.723354745	0.00872664625997	0.00872664625997	0.469262323448	5.42225223701
15	280.020943987	0.0116590793496	83.1446950845	1.0	427.149586111	0.00872664625997	0.00872664625997	0.481074025179	5.90332626219
16	285.410862626	0.0118831617635	83.6176879447	1.0	446.268616921	0.00872664625997	0.00872664625997	0.493113533212	6.3964397954
17	290.857541004	0.0121095845162	84.0956617616	1.0	466.105178097	0.00872664625997	0.00872664625997	0.505386363051	6.90182615845
18	296.362004417	0.0123383892397	84.5787065101	1.0	486.684978383	0.00872664625997	0.00872664625997	0.517898197001	7.41972435545
19	301.925302485	0.0125696185318	85.0669142997	1.0	508.034748002	0.00872664625997	0.00872664625997	0.530654890203	7.95037924566
20	307.548509878	0.0128033159836	85.5603794383	1.0	530.182284524	0.00872664625997	0.00872664625997	0.543662476917	8.49404172257
21	313.232727065	0.0130395262087	86.0591984975	1.0	553.156501029	0.00872664625997	0.00872664625997	0.556927177077	9.05096889965
22	318.979081091	0.0132782948732	86.5634703815	1.0	576.987476732	0.00872664625997	0.00872664625997	0.570455403124	9.62142430277
23	324.788726388	0.0135196687263	87.0732963973	1.0	601.706510175	0.00872664625997	0.00872664625997	0.584253767132	10.2056780699
24	330.662845603	0.0137636956323	87.5887803284	1.0	627.346175163	0.00872664625997	0.00872664625997	0.598329088242	10.8040071581
25	336.602650468	0.014010424604	88.1100285105	1.0	653.940379572	0.00872664625997	0.00872664625997	0.612688400418	11.4166955586
26	342.609382697	0.0142599058365	88.6371499102	1.0	681.52442722	0.00872664625997	0.00872664625997	0.627338960544	12.0440345191
27	348.684314916	0.0145121907433	89.1702562069	1.0	710.13508296	0.00872664625997	0.00872664625997	0.642288256873	12.686322776
28	354.828751627	0.0147673319925	89.7094618775	1.0	739.810641192	0.00872664625997	0.00872664625997	0.657544017855	13.3438667938
29	361.044030212	0.015025383545	90.2548842839	1.0	770.590997988	0.00872664625997	0.00872664625997	0.673114221355	14.0169810152
30	367.33152197	0.0152864006942	90.8066437647	1.0	802.517727054	0.00872664625997	0.00872664625997	0.689007104282	14.7059881195
31	373.692633198	0.0155504401066	91.3648637296	1.0	835.634159737	0.00872664625997	0.00872664625997	0.705231172652	15.4112192921
32	380.128806306	0.0158175598641	91.9296707575	1.0	869.985469337	0.00872664625997	0.00872664625997	0.721795212113	16.1330145042
33	386.641520987	0.0160878195082	92.5011946989	1.0	905.618759975	0.00872664625997	0.00872664625997	0.738708298942	16.8717228032
34	393.232295416	0.0163612800852	93.0795687814	1.0	942.583160287	0.00872664625997	0.00872664625997	0.755979811547	17.6277026147
35	399.902687509	0.0166380041936	93.6649297202	1.0	980.92992224	0.00872664625997	0.00872664625997	0.773619442509	18.4013220572
36	406.654296228	0.0169180560328	94.2574178323	1.0	1020.71252539	0.00872664625997	0.00872664625997	0.791637211173	19.1929592684
37	413.488762931	0.0172015014542	94.8571771552	1.0	1061.9867869	0.00872664625997	0.00872664625997	0.810043476833	20.0030027452
38	420.407772783	0.0174884080135	95.4643555707	1.0	1104.8109777	0.00874420400677	0.00872664625997	0.828848952538	20.8318516978
39	427.416408752	0.0177789840096	96.0793991354	1.0	1149.26747169	0.00888949200479	0.00872664625997	0.848073958023	21.6799256558
40	434.541079978	0.0180743214774	96.7046253858	1.0	1195.5835157	0.00903716073872	0.00872664625997	0.867798724161	22.54772438
41	441.784793067	0.0183745417561	97.3402981671	1.0	1243.84724406	0.00918727087803	0.00872664625997	0.888040616503	23.4357649965
42	449.150658529	0.0186797702794	97.9866904424	1.0	1294.15165401	0.00933988513969	0.00872664625997	0.90881775825	24.3445827547
43	456.641895279	0.0189901367482	98.6440846877	1.0	1346.59491495	0.00949506837408	0.00872664625997	0.930149070086	25.2747318248
